"","vsly_w2074","heat1_w2074","heat2_w2074","vsl55_w2074","vsly_w2044","heat1_w2044","heat2_w2044","vsl55_w2044","vsly_w4574","heat1_w4574","heat2_w4574","vsl55_w4574","vsly_c2064","heat1_c2064","heat2_c2064","vsl55_c2064","vsly_c2044","heat1_c2044","heat2_c2044","vsl55_c2044","vsly_c4564","heat1_c4564","heat2_c4564","vsl55_c4564"
"LTU",123.285143490323,72.9617386356301,80.1610258039006,166.067793770978,53.7153692600551,72.9617386356301,21.2200190067474,36.5586339669946,181.585380654647,72.9617386356301,129.554238776023,274.597896320019,150.073175173598,77.8922638067621,83.9960208841048,159.912494610205,79.1594915411339,77.8922638067621,31.271606957312,53.8758816355711,229.649567782887,77.8922638067621,143.161169947273,278.902380804268
"LUX",231.392480211554,157.714605343492,160.661660245267,322.63784825584,85.5859656301343,157.714605343492,25.7034510999108,59.0614817472326,384.201950292866,157.714605343492,302.101790556514,598.873550122556,261.572213890402,137.137718527595,139.640757324763,280.965428007463,126.126686191777,137.137718527595,37.8787700419739,87.037973101185,443.200263499191,137.137718527595,276.100274213448,541.015840883378
"LVA",115.291528737084,68.9557851807854,75.3646170043127,159.122222666725,49.1216455169606,68.9557851807854,17.098541437087,33.2103414165168,172.426132015516,68.9557851807854,125.674651571703,267.84125061695,137.818297560794,70.5419594629037,75.1209976178205,148.09150843187,72.3897933934157,70.5419594629037,25.1978505388651,48.941555771709,215.015287047103,70.5419594629037,134.023714548633,265.075351337615
"MDA",20.4433256043309,14.681856632322,14.4735326649083,26.4637373040661,7.92352454822401,14.681856632322,3.00576774548481,5.23637216713989,34.6130505810332,14.681856632322,27.4525787597696,50.4885540421537,25.1433082548666,14.2368710280747,14.043676284748,26.9859779973217,11.6767730184354,14.2368710280747,4.42955246703024,7.71675898315352,44.6459149781268,14.2368710280747,27.9671148317643,54.8921909689429
"MKD",27.4361300151661,21.9535645305347,22.156221019339,40.6687827454922,8.70655530222798,21.9535645305347,2.95628011014262,5.76548625369274,47.5076807623468,21.9535645305347,42.7318397511192,78.0729041693015,30.8104089647064,18.3133877599791,18.2505094207988,34.6205468662352,12.8307130769676,18.3133877599791,4.35662332021018,8.49650605807352,56.1772625696553,18.3133877599791,37.8528529152632,71.4779399438491
"MLT",75.8044803855403,46.7262637017056,50.6097822969885,121.814857903749,23.9825968982933,46.7262637017056,9.81650145310875,16.6113269941569,122.155259666926,46.7262637017056,87.09630554394,215.911508057598,73.8194811364336,40.9058867132475,41.7259535844628,83.0947820816799,35.3427743764323,40.9058867132475,14.466423194055,24.4798503071785,124.908803798384,40.9058867132475,77.9211236237176,160.923614494873
"MNE",37.902986361141,28.7487016270823,29.9451144415339,57.2218471845918,11.5524420293681,28.7487016270823,4.82926221975024,7.55887416647971,64.0957575092221,28.7487016270823,54.9105861658116,106.587464471983,42.0786013127721,25.8392367699755,26.5908219213019,48.4320873182455,17.0246514117004,25.8392367699755,7.1168074817372,11.1393935084964,74.8334916842201,25.8392367699755,52.0506480396838,97.18759701702
"NLD",145.613235343358,92.3608436533965,105.490230679119,222.911471973118,40.661142308202,92.3608436533965,14.7792533402027,28.1370325070332,228.599210237043,92.3608436533965,177.215707230668,376.920279954201,151.528625345463,80.6145973391117,89.3461500683875,171.53136217139,59.921683401561,80.6145973391117,21.7799522908251,41.4651005366806,251.366419208051,80.6145973391117,162.983147250609,313.28403224213
"NOR",171.218712757505,118.726261277883,125.287708825823,253.643524020282,61.4741997655875,118.726261277883,22.669126231813,42.3203918912558,276.559812905543,118.726261277883,223.788800965905,456.487480572718,178.671474123062,102.989402124763,105.391210246218,193.50869362905,90.5935575492869,102.989402124763,33.4071333942508,62.3668933134297,294.927494486586,102.989402124763,200.404610084555,366.605701381632
"POL",74.3342982527518,50.5903760178461,52.0591135279172,105.271468379182,25.4139214013539,50.5903760178461,9.82693003624448,17.616205963357,124.278786774249,50.5903760178461,95.1753963407987,194.761728457809,85.6032570090418,49.7419578024235,49.88644083247,96.7141003404983,37.4520946967321,49.7419578024235,14.4817916323603,25.9607245775788,152.543270274041,49.7419578024235,99.1061807782303,195.075836271065
