"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84"
"NLD",698730.587410185,924545.037544751,976124.342675395,1028977.191362,1055575.95126219,1084959.42928311,1026611.83793128,1014230.44775844,1070380.5657979,1280193.5859276,1280234.85374603,1190632.29908118,1067730.75144393,1015832.74409323,807257.351995266,571151.682105451,401849.255949935
"NOR",244145.525031183,322841.480360239,310820.264584798,323942.670720751,343417.670589828,369641.205399856,356140.237345233,346116.152244362,363478.389148598,379131.385400419,351869.37946031,319333.886518075,297315.462853384,273484.509402619,232015.220793323,148318.594749285,104570.430269701
"POL",1506389.20038413,2073401.29785534,1838752.01365831,1894439.97388099,2254045.75225911,2716024.45211954,3176163.06654566,3133086.18212275,2867738.02328286,2404468.11082135,2336749.44872651,2676167.65613789,2758849.11052577,2300993.15211125,1379744.60344273,1095103.08963698,866927.197837899
"PRT",333564.065018002,487696.272878978,541643.561265772,584959.289203893,567115.112042255,579798.452515965,646519.64577438,765533.958784634,849756.602987912,789108.497516166,777966.482959485,735003.444566437,674985.000536666,633759.021183922,536267.242411315,438475.273866812,351692.003475917
"ROU",756554.89242133,1065027.40846792,1069369.1610782,1049941.70548031,982591.252470989,1179083.09448328,1249801.76616374,1428267.56090344,1542593.5041271,1688812.1965622,1082182.62313169,1221162.75486304,1386972.22777605,1182664.16415215,781982.02132252,711243.633422455,519833.114730122
"RUS",7655486.62708196,9079368.06125555,7808142.6989668,6941900.21752839,7509738.03642856,10913352.7144924,12736404.0056875,11290414.8508944,10426272.7460185,9373971.37354718,9404625.73087393,11166723.2349,9640885.31804539,7721386.59988577,3553384.35896727,4483394.87942114,2668233.18450424
"SRB",382316.983582905,509562.248245134,534081.248320811,517501.313824883,571142.873255622,602370.486779202,624367.401356131,621604.299858736,607245.329323892,564789.183310933,547137.531073737,557167.863537806,635656.519038865,533666.309972694,351091.308671819,307115.885765895,201821.046327898
"SVK",219756.044078232,292046.477728423,266562.509168514,273947.197835606,324196.443682674,391593.020932947,428445.952482503,451633.93833718,440613.707059215,360632.949899487,361692.946383494,362807.855565251,366804.246311211,303568.539204327,202352.123772441,148138.047951392,96503.1698631883
"SVN",84654.6662994039,109664.255616765,93199.7810263944,93303.8528292549,102047.365502259,124597.400123534,141749.31583826,157425.942091581,152829.50597394,146876.708238054,155366.358245713,148679.860595029,146893.131220127,121800.030818767,86748.6157505151,76798.7205677824,57591.0373119448
"ESP",1719403.16451174,2447051.51564871,2376065.84185573,2200289.13960826,2268247.56043131,2532633.74121098,2982801.21945292,3734450.7190127,3959207.90867763,3730008.86966861,3507921.31436877,3135135.64411173,2621692.49575745,2356580.56686784,2042159.92180307,1520957.06808095,1442505.07966814
"SWE",475592.21397301,605352.546868959,575088.218606535,533420.841981168,606912.333411357,725393.275762077,653572.26813339,621741.673735385,637084.412915239,653142.584716165,681560.286716893,585241.223895576,564179.919671357,560125.779612114,557206.888818333,377119.160590465,253136.247392655
"CHE",351108.55310133,429402.536087879,410587.08050605,436202.05917368,504160.667485777,589941.15245612,612886.934359879,611619.615530111,590688.148248445,640602.855782627,679331.380663294,596905.920240968,495310.821082627,432933.309022404,393526.443989749,295233.31901806,217888.837703603
"TJK",976166.971965188,1073528.88294304,903845.750956498,873299.964339833,881999.63517331,886951.868322473,738337.674723397,550291.850818769,462106.846499933,416845.987455525,383975.156381976,319038.628541868,204848.605439901,118166.316770989,55295.6827584457,58449.1305333305,39939.462097522
"TUR",4761718.11541998,6327874.73376604,6203661.41940151,6527149.5629637,6453676.02760784,6227664.67610374,6291336.91919903,6560589.14905836,5733308.54871764,5045700.52964186,4679889.11035296,3964812.48579818,3383952.53070334,2519817.80824346,1743182.32458726,1251841.5568722,841523.27486652
"TKM",442808.632132285,499203.818832023,397857.147473961,378326.20487033,424098.754880014,466379.669896344,418545.89054136,353821.613141729,317764.26747836,281741.334801848,261651.67830798,224961.829734049,159606.15156583,90990.5172792727,56109.8896102097,45388.0229849905,29193.853469823
"UKR",1909891.35294055,2441205.50387936,2137124.6323577,2037104.23645272,2475296.65589819,3276380.99512066,3814779.49844227,3450909.60781037,3228189.38013328,3031519.03902618,3050033.12174777,3371543.71578569,2917898.12664746,2420350.63284525,1388461.73159754,1633921.00184489,981067.847605078
"GBR",3133997.25465037,4095166.49219344,3794358.32995792,3772410.34241305,4189882.39932314,4710500.6009809,4667029.07914247,4434375.60674485,4169028.02796997,4657240.44529379,4694467.48661208,4156395.24543232,3561046.54578482,3505045.49448236,3009978.4917872,2178450.2325867,1597890.00612901
"UZB",2758190.23871526,3193850.25925697,2797610.46276049,2764344.96179499,2994773.62836609,3076117.60587478,2762105.87477216,2265855.1026487,1959278.79439302,1715905.00607655,1628554.37859739,1383713.23028217,969932.215655954,507022.973422278,323015.014949068,243704.838933167,136079.72908027
