"","DisplayString","age","All","Female","Male","perc_fmle","ISO_Code"
"1439","Estonia",29,20245.5889744283,9664.54168582376,10581.0472886045,0.477365301549429,"EST"
"1440","Estonia",30,19438.4339521812,9323.77365107605,10114.6603011051,0.479656626352342,"EST"
"1441","Estonia",31,18806.7258963044,9064.11411305243,9742.61178325197,0.481961302729124,"EST"
"1442","Estonia",32,19266.3267312549,9311.66081229852,9954.66591895636,0.483312721837766,"EST"
"1443","Estonia",33,19254.9769818169,9297.21255163619,9957.76443018066,0.48284724310062,"EST"
"1444","Estonia",34,18422.5347808174,9019.2316323119,9403.30314850553,0.489576040410207,"EST"
"1445","Estonia",35,18214.1820682625,8841.24364491032,9372.93842335218,0.48540437400787,"EST"
"1446","Estonia",36,17816.150105951,8706.03260042864,9110.11750552236,0.488659589678728,"EST"
"1447","Estonia",37,17849.7720092293,8620.50642029664,9229.26558893262,0.482947704645156,"EST"
"1448","Estonia",38,17874.6206993021,8717.02174558767,9157.59895371447,0.487675900497739,"EST"
"1449","Estonia",39,18219.1775639038,8848.10336567595,9371.07419822789,0.485647792532962,"EST"
"1450","Estonia",40,18115.4280449936,8934.8695258032,9180.55851919039,0.49321879138663,"EST"
"1451","Estonia",41,17882.7613208983,8744.80089103001,9137.96042986832,0.489007303408484,"EST"
"1452","Estonia",42,17950.2746073711,8867.2618299312,9083.01277743989,0.49399031624229,"EST"
"1453","Estonia",43,18031.246707206,8830.581043288,9200.66566391803,0.489737686288711,"EST"
"1454","Estonia",44,18356.9416386588,9114.38544187651,9242.55619678233,0.496508929498478,"EST"
"1455","Estonia",45,18526.8428852304,9222.9795713372,9303.86331389322,0.497817120189957,"EST"
"1456","Estonia",46,18146.8609847267,9143.10369578827,9003.75728893843,0.50383940801021,"EST"
"1457","Estonia",47,17669.2414239245,8877.99270828672,8791.24871563774,0.502454660915196,"EST"
"1458","Estonia",48,17180.8218015127,8707.16430038432,8473.65750112835,0.506795565484399,"EST"
"1459","Estonia",49,16280.7458413702,8328.60300336854,7952.14283800169,0.511561514719131,"EST"
"1460","Estonia",50,16219.5543134409,8293.33242854654,7926.22188489435,0.511316912183831,"EST"
"1461","Estonia",51,16383.1759307755,8471.39786596573,7911.77806480982,0.51707910003288,"EST"
"1462","Estonia",52,16968.8579562278,8727.37933103662,8241.47862519117,0.514317425106005,"EST"
"1463","Estonia",53,17185.3980608138,8890.5169908969,8294.88106991695,0.517329709759187,"EST"
"1464","Estonia",54,17874.3388306884,9227.54275747351,8646.79607321493,0.516245263384555,"EST"
"1465","Estonia",55,18222.4337428555,9692.47890807859,8529.95483477686,0.53189815613289,"EST"
"1466","Estonia",56,18228.9559199235,9711.42985021702,8517.5260697065,0.532747453714715,"EST"
"1467","Estonia",57,17666.7416641566,9462.864637525,8203.87702663163,0.535631573575554,"EST"
"1468","Estonia",58,17674.2922718374,9544.13101783927,8130.16125399816,0.540000746340893,"EST"
"1469","Estonia",59,17350.0307333268,9431.84891027891,7918.18182304791,0.543621452621507,"EST"
"1470","Estonia",60,17143.069120075,9429.38502826507,7713.68409180996,0.550040658543633,"EST"
"1471","Estonia",61,17556.7952472426,9740.81080463515,7815.98444260741,0.554817133050806,"EST"
"1472","Estonia",62,16703.3394495404,9378.67231211666,7324.6671374237,0.561484865972398,"EST"
"1473","Estonia",63,16103.2317692486,9087.1413584188,7016.09041082978,0.56430544431286,"EST"
"1474","Estonia",64,16125.9437727542,9244.19769049838,6881.74608225582,0.573250026216576,"EST"
"1475","Estonia",65,15908.9573385948,9268.93307372393,6640.0242648709,0.58262354197391,"EST"
"1476","Estonia",66,15248.8797252121,8959.01493086724,6289.86479434491,0.587519548472445,"EST"
"1477","Estonia",67,15658.8392948112,9302.15048663679,6356.68880817439,0.594051085875771,"EST"
"1478","Estonia",68,15009.5482766993,8999.64394975673,6009.90432694254,0.599594590313401,"EST"
"1479","Estonia",69,13902.8005769367,8366.48925153186,5536.3113254048,0.601784453803574,"EST"
"1480","Estonia",70,12687.8009842938,7800.49488459427,4887.30609969952,0.614802745901396,"EST"
"1481","Estonia",71,10043.7356651955,6194.35888428726,3849.37678090828,0.616738541392774,"EST"
"1482","Estonia",72,9534.84446426162,5986.9628831329,3547.88158112872,0.627903570485408,"EST"
"1483","Estonia",73,9553.5776897106,6002.82136763674,3550.75632207387,0.628332292111038,"EST"
"1484","Estonia",74,10899.839025113,6939.46731197761,3960.3717131354,0.636657779623096,"EST"
"1485","Estonia",75,12813.3198698715,8412.00650893639,4401.31336093511,0.656504839835919,"EST"
"1486","Estonia",76,10970.2082050722,7257.25792841419,3712.95027665804,0.661542405827696,"EST"
"1487","Estonia",77,11236.9747321891,7596.81782202884,3640.15691016026,0.676055433342501,"EST"
"1488","Estonia",78,11011.4295550154,7538.55183017846,3472.87772483692,0.684611547711792,"EST"
"1489","Estonia",79,10577.4760837144,7350.36343198901,3227.11265172535,0.694907119034378,"EST"
"1490","Estonia",80,9137.60463955312,6439.09737838793,2698.50726116519,0.704681109808099,"EST"
"1491","Estonia",81,7968.56540329434,5631.74061688109,2336.82478641324,0.706744606068344,"EST"
"1492","Estonia",82,6870.86616956179,4950.94852018325,1919.91764937854,0.72057123483443,"EST"
"1493","Estonia",83,6504.96672952997,4721.99128841174,1782.97544111823,0.725905524923867,"EST"
"1494","Estonia",84,6661.89838974067,4907.03984880355,1754.85854093712,0.736582811944475,"EST"
"1495","Estonia",85,5907.0794082197,4364.87983337412,1542.19957484558,0.738923507156581,"EST"
"1496","Estonia",86,5250.23888965542,3915.01325836246,1335.22563129296,0.745682880464018,"EST"
"1497","Estonia",87,4510.61887748708,3470.74562261398,1039.8732548731,0.769461068842858,"EST"
"1498","Estonia",88,4006.0316717034,3130.24873621564,875.782935487758,0.781383921232113,"EST"
"1499","Estonia",89,3280.14285723666,2564.33486317829,715.807994058369,0.78177536003374,"EST"
