"","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79"
"RUS",0,0,0,0.000511986054894457,0.00150937378615303,0.00201246462745096,0.00400376508430165,0.0039647046315066,0.0049297264094301,0.0058742659506007,0.00816919638987712,0.0132221129061981,0.0189099416895436,0.0257435451694102,0.0353424296782214,0.0586640114515655
"SRB",0,0,0,0,0,0.000509836357137769,0.000507634919084903,0.001,0.00150446234879388,0.00300648008411557,0.00548228713838534,0.00890475678976043,0.0137905194051285,0.0182137263750104,0.0383171047379007,0.0642756993913226
"SVK",0,0,0,0,0.000511456462515528,0.000509958808755719,0.000512454039260437,0.00151442908407474,0.00151165292950657,0.00351570765090926,0.00498660371539454,0.00841363809281282,0.0136237433196953,0.0186793212854295,0.0283455833498566,0.0461881059887017
"SVN",0,0,0,0,0.000514202611881484,0.000518605872530927,0.000523134854155538,0.001,0.00152184652551987,0.00202863105954962,0.00352348256750275,0.00601340025524345,0.00900642550509672,0.0138306826671761,0.0202788467219213,0.0325594022115537
"ESP",0,0,0,0,0,0,0.00050002059829476,0.000507265494984334,0.001,0.00150433546418375,0.00299538778978625,0.00447316623537423,0.0069076194249628,0.0102745864933637,0.0145334011903557,0.0277496813621729
"SWE",0,0,0,0,0.000517145131003997,0.000513777797915391,0.00051336682224436,0.000511331041965523,0.001,0.0015064453112399,0.00250842882636459,0.00350442662264163,0.00649924885849042,0.0104678117204962,0.0184285944977753,0.0306910934558794
"CHE",0,0,0,0,0,0,0.000508069382150866,0.000508333462509259,0.001,0.00150594023256135,0.00250811172071076,0.00401079994234122,0.00599410821727534,0.00942079098259243,0.0152727288462837,0.0259589265395469
"TJK",0.00151333256739518,0.000515140237152442,0,0.000512459255254893,0.000506886456968809,0.001,0.00150302051620513,0.00150547845427866,0.00249819504582334,0.0039838204128901,0.00546566780856956,0.0104520958989714,0.0154015909179181,0.0377269654928988,0.0451905750010696,0.0845160418658679
"MKD",0,0,0,0,0.000517580788498845,0.00051849834291727,0.000516137696693213,0.001,0.00151205262128117,0.00302235968409369,0.00502112434595312,0.00805252751035061,0.0135072480831897,0.0197781921275819,0.0344863901296948,0.0678359997508029
"TUR",0,0,0,0.001,0.00151037809015892,0.00150768699462697,0.00150635979700257,0.00200849990174223,0.00200760695972672,0.00301148581415133,0.00400494675121928,0.00599417496883295,0.00993930694412445,0.0157354074199894,0.0286754473559307,0.0523780195948866
"TKM",0.002,0,0,0.001,0.001,0.00153681098156631,0.00153610972872564,0.00305202249469323,0.00454496833251572,0.00599432693186151,0.00980834149877901,0.0146764544735634,0.0227803651574987,0.0311376531453056,0.0613065162107593,0.071445561760705
"UKR",0,0,0,0.000514579920845701,0.000511878250850412,0.00150780951571329,0.0020018521104276,0.00347710223956792,0.00441145100918746,0.00583064231284185,0.00808772190828038,0.0116843320808938,0.0182463889473367,0.0240985622555045,0.0428031499421102,0.0582638961884785
