"","age","DisplayString","dlyr_m","dlyr_f","ISO_Code"
"4722",35,"Slovakia",39.824680254269,45.9300429644028,"SVK"
"4723",36,"Slovakia",38.872866453887,44.956835799674,"SVK"
"4724",37,"Slovakia",37.9246691162323,43.9845462801826,"SVK"
"4725",38,"Slovakia",36.9805443459691,43.0137714244084,"SVK"
"4726",39,"Slovakia",36.0409053904935,42.0451944163324,"SVK"
"4727",40,"Slovakia",35.1061237012044,41.0793628589739,"SVK"
"4728",41,"Slovakia",34.1765807038784,40.116737973792,"SVK"
"4729",42,"Slovakia",33.252812907966,39.1574209348947,"SVK"
"4730",43,"Slovakia",32.3353498340705,38.2013978862729,"SVK"
"4731",44,"Slovakia",31.4246644152436,37.2486537920437,"SVK"
"4732",45,"Slovakia",30.5211752245591,36.2991628263767,"SVK"
"4733",46,"Slovakia",29.6253301655577,35.3530602734217,"SVK"
"4734",47,"Slovakia",28.7378390270054,34.4111294974171,"SVK"
"4735",48,"Slovakia",27.8594147371556,33.4742475699109,"SVK"
"4736",49,"Slovakia",26.9906954091918,32.5432120785122,"SVK"
"4737",50,"Slovakia",26.1322496736602,31.6187438133552,"SVK"
"4738",51,"Slovakia",25.2846027221496,30.7012426517134,"SVK"
"4739",52,"Slovakia",24.448300236734,29.7900926676315,"SVK"
"4740",53,"Slovakia",23.623848602817,28.8844624807113,"SVK"
"4741",54,"Slovakia",22.8117010410779,27.9835551690182,"SVK"
"4742",55,"Slovakia",22.0122647335223,27.0866060500801,"SVK"
"4743",56,"Slovakia",21.226051230404,26.193283397318,"SVK"
"4744",57,"Slovakia",20.4540913152613,25.304817242888,"SVK"
"4745",58,"Slovakia",19.6974967749846,24.4226906667628,"SVK"
"4746",59,"Slovakia",18.9573376186723,23.5482345359276,"SVK"
"4747",60,"Slovakia",18.2346662488373,22.6826348623644,"SVK"
"4748",61,"Slovakia",17.530054439621,21.8267486868553,"SVK"
"4749",62,"Slovakia",16.8422043942919,20.9805738199599,"SVK"
"4750",63,"Slovakia",16.1694605447898,20.1438798019553,"SVK"
"4751",64,"Slovakia",15.5102752724543,19.3164042280587,"SVK"
